artist,born-died,period,school,url,base,nationality
"AIVAZOVSKY, Ivan Konstantinovich",(1817-1900),Realism,painter,https://www.wga.hu/html/a/aivazovs/index.html,Russia,Russian
"AKEN, Joseph van",(c. 1699-1749),Rococo,painter,https://www.wga.hu/html/a/aken/index.html,London,Flemish
"AKOTANTOS, Angelos",(?-c. 1457),Medieval,painter,https://www.wga.hu/html/a/akotanto/index.html,Crete,Greek
"ALBA, Macrino d'",(c. 1460-c. 1528),Early Renaissance,painter,https://www.wga.hu/html/a/alba/index.html,Alba,Italian
"ALBANI, Francesco",(1578-1660),Baroque,painter,https://www.wga.hu/html/a/albani/index.html,Bologna,Italian
"ALBEREGNO, Jacobello",(died before1397),Medieval,painter,https://www.wga.hu/html/a/alberegn/index.html,Venice,Italian
"ALBERTI, Antonio",(c. 1390-c. 1442),Early Renaissance,painter,https://www.wga.hu/html/a/albert/index.html,Urbino,Italian
"ALBERTI, Cherubino",(1553-1615),Mannerism,painter,https://www.wga.hu/html/a/alberti1/cherubin/index.html,Rome,Italian
"ALBERTI, Giovanni",(1558-1601),Mannerism,painter,https://www.wga.hu/html/a/alberti1/giovanni/index.html,Rome,Italian
"ALBERTI, Leon Battista",(1404-1472),Early Renaissance,architect,https://www.wga.hu/html/a/alberti/index.html,Italy,Italian
"ALBERTINELLI, Mariotto",(1474-1515),Early Renaissance,painter,https://www.wga.hu/html/a/albertin/index.html,Florence,Italian
"ALBERTOLLI, Giocondo",(1743-1839),Neoclassicism,sculptor,https://www.wga.hu/html/a/albertol/index.html,Italy,Italian
"ALBOTTO, Francesco",(1721-1757),Baroque,painter,https://www.wga.hu/html/a/albotto/index.html,Venice,Italian
"ALCIBAR, José de",(1725/30-1803),Baroque,painter,https://www.wga.hu/html/a/alcibar/index.html,Mexico,Other
"ALDROVANDI, Ulisse",(1522-1605),Mannerism,graphic,https://www.wga.hu/html/a/aldrovan/index.html,Bologna,Italian
"ALEANDRI, Ireneo",(1795-1885),Neoclassicism,architect,https://www.wga.hu/html/a/aleandri/index.html,Italy,Italian
"ALEKSANDROVIĆ, Ljubomir",(1828-1887),Romanticism,painter,https://www.wga.hu/html/a/aleksand/index.html,Other,Other
"ALEKSEYEV, Fyodor Yakovlevich",(c. 1753-1824),Rococo,painter,https://www.wga.hu/html/a/alekseye/index.html,Russia,Russian
"ALENZA Y NIETO, Leonardo",(1807-1845),Neoclassicism,painter,https://www.wga.hu/html/a/alenza/index.html,Madrid,Spanish
"ALESSI, Galeazzo",(1512-1572),Mannerism,architect,https://www.wga.hu/html/a/alessi/index.html,Genoa,Italian
ALESSO DI BENOZZO,(1473-1528),Early Renaissance,painter,https://www.wga.hu/html/a/alesso/index.html,Pistoia,Italian
ALEVIZ NOVY,(active 1499-1531),Early Renaissance,architect,https://www.wga.hu/html/a/aleviz/index.html,Russia,Italian
"ALGARDI, Alessandro",(1598-1654),Baroque,sculptor,https://www.wga.hu/html/a/algardi/index.html,Rome,Italian
"ALINCBROT, Louis",(1400/10-1460),Northern Renaissance,painter,https://www.wga.hu/html/a/alincbro/index.html,Valencia,Flemish
"ALLAR, André-Joseph",(1845-1926),Realism,sculptor,https://www.wga.hu/html/a/allar/index.html,Toulon,French
"ALLEGRAIN, Christophe-Gabriel",(1710-1795),Rococo,sculptor,https://www.wga.hu/html/a/allegrai/christop/index.html,Paris,French
"ALLEGRAIN, Etienne",(1644-1736),Baroque,painter,https://www.wga.hu/html/a/allegrai/etienne/index.html,Paris,French
"ALLIO, Domenico I",(c. 1510-1563),Northern Renaissance,architect,https://www.wga.hu/html/a/allio/index.html,Austria,German
"ALLORI, Alessandro",(1535-1607),Mannerism,painter,https://www.wga.hu/html/a/allori/alessand/index.html,Florence,Italian
"ALLORI, Cristofano",(1577-1621),Baroque,painter,https://www.wga.hu/html/a/allori/cristofa/index.html,Florence,Italian
"ALLSTON, Washington",(1779-1843),Romanticism,painter,https://www.wga.hu/html/a/allston/index.html,United States,American
"ALMA-TADEMA, Lawrence",(1836-1912),Romanticism,painter,https://www.wga.hu/html/a/almatade/index.html,London,English
"ALMONACID, Sebastián de",(c. 1460-1526),Early Renaissance,sculptor,https://www.wga.hu/html/a/almonaci/index.html,Spain,Spanish
ALOISIO DA CARCANO,(active 1493-1516),Early Renaissance,architect,https://www.wga.hu/html/a/aloisio/index.html,Russia,Italian
"ALSLOOT, Denis van",(1570-1628),Baroque,painter,https://www.wga.hu/html/a/alsloot/index.html,Brussels,Flemish
"ALT, Rudolf von",(1812-1905),Realism,painter,https://www.wga.hu/html/a/alt/index.html,Austria,Austrian
"ALTDORFER, Albrecht",(c. 1480-1538),Northern Renaissance,painter,https://www.wga.hu/html/a/altdorfe/index.html,Germany,German
"ALTENSTETTER, David",(c. 1547-1617),Northern Renaissance,goldsmith,https://www.wga.hu/html/a/altenste/index.html,Augsburg,German
ALTICHIERO da Zevio,(c. 1330-c. 1390),Medieval,painter,https://www.wga.hu/html/a/altichie/index.html,Verona,Italian
"ALTISSIMO, Cristofano dell'",(c. 1530-1605),Mannerism,painter,https://www.wga.hu/html/a/altissim/index.html,Florence,Italian
"ALTOBELLO, Francesco Antonio",(1637-after 1695),Baroque,painter,https://www.wga.hu/html/a/altobell/index.html,Naples,Italian
"ALTOMONTE, Bartolomeo",(1694-1783),Baroque,painter,https://www.wga.hu/html/a/altomont/bartolom/index.html,Austria,Austrian
"ALTOMONTE, Martino",(1657-1745),Baroque,painter,https://www.wga.hu/html/a/altomont/martino/index.html,Austria,Austrian
"AMADEO, Giovanni Antonio",(c. 1447-1522),Early Renaissance,architect,https://www.wga.hu/html/a/amadeo/index.html,Lombardy,Italian
"AMBERGER, Christoph",(c. 1505-1562),Northern Renaissance,painter,https://www.wga.hu/html/a/amberger/index.html,Augsburg,German
"AMEDEI, Giuliano",(c. 1446-1496),Early Renaissance,illuminator,https://www.wga.hu/html/a/amedei/index.html,Rome,Italian
"AMENDOLA, Giovanni Battista",(1848-1887),Realism,sculptor,https://www.wga.hu/html/a/amendola/index.html,Italy,Italian
"AMERLING, Friedrich von",(1803-1887),Romanticism,painter,https://www.wga.hu/html/a/amerling/index.html,Vienna,Austrian
AMICO FRIULANO DEL DOSSO,(active 1510-1540),High Renaissance,painter,https://www.wga.hu/html/a/amico/index.html,Italy,Italian
"AMIGONI, Jacopo",(1682-1752),Baroque,painter,https://www.wga.hu/html/a/amigoni/index.html,Venice,Italian
"AMMAN, Jost",(1539-1591),Northern Renaissance,graphic,https://www.wga.hu/html/a/amman/index.html,Nuremberg,Swiss
"AMMANATI, Bartolomeo",(1511-1592),Mannerism,architect,https://www.wga.hu/html/a/ammanati/index.html,Italy,Italian
"AMSTEL, Jan van",(c. 1500-c. 1542),Mannerism,painter,https://www.wga.hu/html/a/amstel/index.html,Netherlandish,Netherlandish
"ANCHER, Anna Kirstine",(1859-1935),Impressionism,painter,https://www.wga.hu/html/a/ancher/anna/index.html,Skagen,Danish
