ARTIST,BIRTH DATA,PROFESSION,SCHOOL,URL
"ARFE, Juan de","(b. 1535, León, d. 1603, Madrid)",goldsmith,Spanish,https://www.wga.hu/bio/a/arfe/juan/biograph.html
"ARGUNOV, Ivan Petrovich","(b. 1729, St. Petersburg, d. 1802, Moscow)",painter,Russian,https://www.wga.hu/bio/a/argunov/biograph.html
"ARKWRIGHT, Richard","(b. 1732, Preston, d. 1792, Cromford)",architect,English,https://www.wga.hu/bio/a/arkwrigh/biograph.html
ARNOLD OF WESTPHALIA,"(d. ca. 1480, Meissen)",architect,German,https://www.wga.hu/bio/a/arnold/biograph.html
"ARNOLDI, Alberto",(active 1351-1364 in Florence),architect,Italian,https://www.wga.hu/bio/a/arnoldi/biograph.html
ARNOLFO DI CAMBIO,"(b. ca. 1245, Colle di Valdelse, d. ca. 1310, Firenze)",sculptor,Italian,https://www.wga.hu/bio/a/arnolfo/biograph.html
"ARNULPHY, Claude","(b. 1697, Grenoble, d. 1786, Aix-en-Provence)",painter,French,https://www.wga.hu/bio/a/arnulphy/biograph.html
"ARRIGHI, Antonio",(active 1746-1769 in Cremona),architect,Italian,https://www.wga.hu/bio/a/arrighi/biograph.html
"ARRUDA, Diogo de",(c. 1470-1531),architect,Portuguese,https://www.wga.hu/bio/a/arruda/diogo/biograph.html
"ARRUDA, Francisco de","(d. 1547, Évora)",architect,Portuguese,https://www.wga.hu/bio/a/arruda/francisc/biograph.html
"ARSON, Alphonse-Alexandre","(b. 1822, Paris, d. 1880, Paris)",sculptor,French,https://www.wga.hu/bio/a/arson/biograph.html
"ARTHOIS, Jacques d'","(b. 1613, Bruxelles, d. 1686, Bruxelles)",painter,Flemish,https://www.wga.hu/bio/a/arthois/biograph.html
"ARTIOLI, Giuseppe",(active 1750-1800 in Mantua),painter,Italian,https://www.wga.hu/bio/a/artioli/biograph.html
"ASAM, Cosmas Damian","(b. 1686, Benedikternbeuern, d. 1739, Weltenburg)",painter,German,https://www.wga.hu/bio/a/asam/cosmas/biograph.html
"ASAM, Egid Quirin","(b. 1692, Tegernsee, d. 1750, Mannheim)",sculptor,German,https://www.wga.hu/bio/a/asam/egid/biograph.html
"ASCH, Pieter Jansz. van","(b. 1603, Delft, d. 1678, Delft)",painter,Dutch,https://www.wga.hu/bio/a/asch/biograph.html
